site_code,native,demographics,genetics,round,country,location,region,latitude,longitude,coordinator,,,
AC,native,Y,Y,1,Spain,Archuchurria,Europe,41.31785,1.950016,MunneBosch,,,
ACR,non_native,Y,Y,2,USA,California,Nth_America,39.71315,-123.65177,Petry,,,
AL1,native,Y,N,NA,Finland,Aland island,Europe,60.22,19.54,Anna-Liisa Laine,,,
AL2,native,Y,N,NA,Finland,Aland island,Europe,60.13,19.98,Anna-Liisa Laine,,,
ARH,native,Y,Y,1,Norway,Arhelleren,Europe,60.6652,6.33738,LieOlsen,,,
BG,native,Y,Y,1,Norway,Bargarden,Europe,61.4481,7.480683,HorunnHamre,,,
BHU,non_native,Y,Y,1,NewZealand,Lincoln,Australasia,-43.649957,172.456083,Groenteman,,,
BI,native,Y,Y,2,Ireland,BullIsland,Europe,53.372436,-6.168165,Villellas,,,
CDF,native,Y,Y,2,Ireland,DistilleryFields,Europe,51.899611,-8.485889,Wingler,,,
CH,native,Y,Y,1,Ireland,Coolclough,Europe,52.144308,-8.948419,Buckley,,,
CP,non_native,Y,N,NA,Australia,CoombaPark,Australasia,-32.2235,152.4515,Vesk,,,
DP,non_native,Y,Y,1,Australia,DuttonPark,Australasia,-27.49837,153.02602,SalgueroGomez_Dwyer,,,
EE,native,Y,Y,1,Estonia,Allika,Europe,58.717116,23.771596,Helm,,,
EL,native,Y,Y,2,Estonia,Elva,Europe,58.259717,26.35125,Partel,,,
GB,non_native,Y,Y,1,USA,Franklin,Nth_America,35.2291,-83.39025,Elderd,,,
GH,non_native,Y,Y,1,Canada,Guelph,Nth_America,43.534722,-80.211667,Caruso,,,
GU,native,Y,N,NA,Norway,GuriskJaer,Europe,59.33587,10.48914,Skarpaas,,,
HAS,non_native,Y,Y,2,USA,California,Nth_America,36.37865,-121.56724,Petry,,,
HR,native,Y,Y,1,Romania,HargitaMountains,Europe,46.34465,25.617017,Csergo,,,
HU,native,Y,Y,1,Hungary,Keszthely,Europe,46.7493,17.23734,Bodis,,,
HV,non_native,Y,Y,2,USA,Harvard,Nth_America,42.48566,-71.5687,Crone,,,
IO,native,Y,Y,1,Ireland,InisOirr,Europe,53.00805,-9.31444,Csergo_Buckley,,,JR
JE,native,Y,Y,1,Germany,Jena,Europe,50.95192,11.62282,Roscher_Roeder,,,
JR,non_native,Y,Y,2,USA,JasperRidge,Nth_America,37.408,-122.2275,Anderegg,,,
JSJ,non_native,Y,N,NA,USA,California,Nth_America,33.80889,-116.77673,Petry,,,
KM,native,Y,Y,1,Estonia,Kyynimts,Europe,57.73493,26.53314,Kull,,,
LK1,native,Y,Y,2,UK,Sheffield,Europe,53.192433,-1.762361,SalgueroGomez_Childs,,,
MN,native,Y,Y,2,UK,Brearly,Europe,53.37982,-2.21606,Brearley,,,
NRM,non_native,Y,Y,2,USA,California,Nth_America,35.52435,-121.07378,Petry,,,
OR_SS,native,Y,Y,1,Sweden,Stockholm,Europe,59.269244,18.101127,Rasmussen,,,
PA,native,Y,Y,2,Spain,Panticosa,Europe,42.757399,-0.236718,GarciaGonzalez,,,
PC,non_native,Y,Y,2,USA,California,Nth_America,38.517701,-121.764322,Gremer,,,
PM,native,Y,N,NA,CzechRepublic,Pruhonice,Europe,50.7776,14.8929,Munzbergova,,,
RO,non_native,Y,Y,1,Canada,Rosedale,Nth_America,49.28742,-121.66956,Fraser,,,
RO_IS,native,Y,Y,2,Romania,Isai,Europe,47.184917,27.556861,Oprea,,,
RUSC,non_native,Y,N,NA,USA,Houston,Nth_America,29.65724,-95.44385,Compagnoni,,,
SC,native,Y,Y,1,Ireland,SlieveCarran,Europe,53.07227,-8.99232,Buckley,,,
SI,native,Y,Y,1,Finland,Seili,Europe,60.23695,21.959783,Ramula ,,,
STB,non_native,y,n,NA,Australia,Stradbrook,Australasia,-27.2939,153.2416,Firn,,,
STR,non_native,Y,N,NA,USA,California,Nth_America,33.62595,-117.55676,Petry,,,
TG,native,Y,N,NA,Sweden,Sweden,Europe,58.951835,17.616575,Ehlren,,,
TJ,native,Y,N,NA,Sweden,Sweden,Europe,58.975639,17.563148,Ehlren,,,
TNC,non_native,Y,N,NA,USA,Oregon,Nth_America,44.03775,-123.1665,Ferguson_Schultz,,,
TNM,native,Y,Y,1,Ireland,Donegal,Europe,55.24556,-7.61744,Kelly,,,
TO,native,Y,N,NA,Italy,Torino,Europe,45.064965,7.589508,Lonati,,,
TUE,native,Y,Y,2,Germany,Tuebingen,Europe,48.53971,9.036808,Lampei_Bucharova,,,
TW,non_native,Y,Y,1,Australia,Toowomba,Australasia,-27.5811,151.98784,SalgueroGomez_Dwyer,,,
UC,non_native,Y,Y,1,Australia,Canberra,Australasia,-35.234303,149.08505,Wandrag,,,
UR,non_native,Y,N,NA,Australia,Urquhart,Australasia,-37.19098,144.38359,Moore,,,
VA,non_native,Y,Y,1,USA,Virginia,Nth_America,37.967365,-78.473958,Roach,,,
WIN,native,Y,Y,1,UK,Southampton,Europe,51.0432,-1.30818,Catford,,,
ZG,native,Y,Y,2,Spain,Zaragoza,Europe,41.68952,-0.932392,Villellas,,,
ZM,native,Y,N,NA,CzechRepublic,Zdislava,Europe,49.9955,14.5666,Munzbergova,,,
SW242,native,Y,Y,2,Switzerland,"Sendy-Sollard, Vaud",Europe,46.4453,6.931455,Maude Baudraz,,,
SW729,native,Y,Y,2,Switzerland,"Les Grandes Charbonnières, Vaud",Europe,46.40478,7.06198,Maude Baudraz,,,
