site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,4,18,29,no,yes,3,1,4,110,6,0,0,,na,no,na,no,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,4,18,29,no,yes,3,2,3,141,6,3,230,11,seed dispersed,yes,na,no,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,4,18,29,no,yes,3,3,2,89,4,0,na,na,na,no,na,no,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,16,32,20,no,yes,2,2,5,211,17,0,na,na,na,no,na,yes,cocoon,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,42,38,26,no,yes,1,1,4,190,19,2,324,11,mature seed,yes,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,44,46,32,no,yes,1,1,6,201,17,1,287,10,mature seed,no,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P10,0,50,12,22,no,yes,1,1,5,205,16,0,0,0,na,no,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,51,45,33,no,yes,1,1,5,225,21,3,363,11,seed developing,no,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,52,33,37,no,yes,1,1,2,122,9,0,na,na,na,no,na,no,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P13,0,101,24,21,no,na,1,1,3,186,10,0,na,na,na,na,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,102,45,45,no,na,2,1,3,184,11,0,na,na,na,na,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,102,45,45,no,na,2,2,2,182,13,0,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,103,15,13,no,na,1,1,4,209,11,0,na,na,na,no,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P11,0,104,19,47,no,na,1,1,3,285,11,0,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,105,35,43,no,na,1,1,5,132,15,1,155,13,mature seed,na,na,yes,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,1,40,32,yes,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,1,40,32,yes,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,2,10,33,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,5,14,46,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,5,14,46,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,6,17,37,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,7,25,46,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,8,27,36,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,9,22,31,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,10,21,45,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,11,15,47,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,12,20,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,14,8,30,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,14,8,30,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,14,8,30,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,15,10,37,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,15,10,37,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,15,10,37,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,18,35,31,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P2,0,20,14,34,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P3,0,21,24,30,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P3,0,21,24,30,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P3,0,22,7,31,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P4,0,23,45,46,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P4,0,24,11,32,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P3,0,25,45,23,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P3,0,25,45,23,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P3,0,25,45,23,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P4,0,26,29,30,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P5,0,27,3,25,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P4,0,28,15,45,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P4,0,29,8,47,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P4,0,30,17,27,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P4,0,32,41,45,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y1
