site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,1,5.5,6,no,yes,1,1,5,322,24,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,2,16.5,4,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,3,24,5.5,no,yes,1,1,3,185,12,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,4,9.5,10,no,yes,1,1,5,283,16,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,5,4,14,no,yes,1,1,3,260,20,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,6,13,13,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,7,20.5,15.5,no,yes,1,1,6,295,16,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,8,22.5,17.5,no,yes,1,1,7,340,20,3,600,35,flowering,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,9,25,28.5,no,yes,1,1,6,280,20,0,NA,NA,NA,no,NA,no,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,10,5,35,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,11,7.5,38,no,yes,3,1,7,265,20,0,NA,NA,NA,no,NA,yes,2% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,11,7.5,38,no,yes,3,2,3,210,10,0,NA,NA,NA,no,NA,yes,2% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,11,7.5,38,no,yes,3,3,3,270,15,0,NA,NA,NA,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,12,35.5,41,no,yes,1,1,5,220,12,0,NA,NA,NA,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,13,16,43,no,yes,3,1,4,320,16,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,13,16,43,no,yes,3,2,6,275,12,0,NA,NA,NA,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,13,16,43,no,yes,3,3,3,285,16,0,NA,NA,NA,no,NA,yes,2% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,14,16,45,no,yes,3,1,4,320,24,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,14,16,45,no,yes,3,2,8,340,32,1,520,25,seed developing,no,NA,yes,2% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P1,3,14,16,45,no,yes,3,3,3,330,35,3,500,40,seed developing,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,15,7,0,no,yes,3,1,5,170,8,0,NA,NA,NA,no,NA,yes,<1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,15,7,0,no,yes,3,2,5,230,16,0,NA,NA,NA,no,NA,yes,3% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,15,7,0,no,yes,3,3,6,250,17,0,NA,NA,NA,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,16,16,0,no,yes,1,1,5,320,24,0,NA,NA,NA,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,17,23,1,no,yes,1,1,5,280,22,1,420,10,seed developing,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,18,29,6,no,yes,1,1,7,280,20,0,NA,NA,NA,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,19,29.5,9,no,yes,1,1,7,220,25,0,NA,NA,NA,no,NA,yes,<1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,20,8,10,no,yes,1,1,4,392,22,0,NA,NA,NA,no,NA,yes,3% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,21,9,11,no,yes,1,1,5,335,16,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,22,9,14.5,no,yes,1,1,7,520,25,0,NA,NA,NA,no,NA,yes,3% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,23,32,19,no,yes,1,1,3,260,10,0,NA,NA,NA,no,NA,yes,<1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,24,34,22,no,yes,1,1,6,330,30,0,NA,NA,NA,no,NA,yes,1% of leaf missing,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,25,37,30,no,yes,1,1,8,310,17,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
CDF,51.899639,-8.485972,51.899639,-8.485889,T1,P2,2,26,42,31,no,yes,1,1,6,280,24,0,NA,NA,NA,no,NA,yes,3% of leaf missing,NA,2017,Y1
