site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,1,31,20,yes,yes,2,1,6,17,15,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,1,31,20,yes,yes,2,2,6,15,13,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,2,47,21,no,yes,1,1,5,22,18,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,yes,6,1,4,15,10,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,yes,6,2,5,19,9,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,yes,6,3,6,28,15,0,NA,NA,NA,no,NA,yes,"hole, picture",NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,yes,6,4,6,18,7,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,yes,6,5,4,24,7,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,yes,6,6,6,16,11,0,NA,NA,NA,no,NA,yes,holes,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,4,2,46,no,yes,1,1,8,22,19,1,32,1,bud,no,NA,no,NA,NA,2016,Y1
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,5,4,47,no,yes,1,1,5,22,16,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
