site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P1,0,1,15,12,yes,yes,2,2,10,130,12,0,NA,NA,NA,no,NA,yes,"5% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P1,0,1,14,9,yes,yes,2,1,8,175,13,0,NA,NA,NA,no,NA,yes,"5% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P2,0,2,24,1,yes,yes,5,1,7,205,19,0,NA,NA,NA,no,NA,yes,"25% chew, mine","Added new tag, mostly likely multiple rosettes but could not distinguish ",2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P2,0,2,21,5,yes,yes,5,3,13,60,7,0,NA,NA,NA,no,NA,yes,"20% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P2,0,2,20,9,yes,yes,5,2,18,155,13,0,NA,NA,NA,no,NA,yes,"10% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P2,0,2,17,3.5,yes,yes,5,4,7,205,10,0,NA,NA,NA,no,NA,yes,"25% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P2,0,2,15,6,yes,yes,5,5,5,150,7,0,NA,NA,NA,no,NA,yes,"50% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,3,36.5,18.5,no,yes,1,1,2,193,7,0,NA,NA,NA,no,NA,yes,"25% chew, mine",0.5 meter gap between plots 6 & 7,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,4,13,32,no,yes,1,1,3,142,12,0,NA,NA,NA,no,NA,yes,"10% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,5,8.5,23,yes,yes,4,3,19,120,12,0,NA,NA,NA,no,NA,yes,"5% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,5,6,34,yes,yes,4,2,14,115,12,0,NA,NA,NA,no,NA,yes,5% chew,NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,5,6,28,yes,yes,4,4,10,130,11,0,NA,NA,NA,no,NA,yes,"10% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,5,5,34,yes,yes,4,1,7,97,10,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,6,17,32,yes,yes,2,2,30,150,13,0,NA,NA,NA,no,NA,yes,"25% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,6,16,31,yes,yes,2,1,17,150,9,0,NA,NA,NA,no,NA,yes,"5% chew, mine",New tag,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,7,18,37,yes,yes,3,3,9,150,10,0,NA,NA,NA,no,NA,yes,"5% chew, mine",NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,7,14.5,36.5,yes,yes,3,2,10,110,11,0,NA,NA,NA,no,NA,yes,5% chew,NA,2016,Y1
GB,35.2291 ,-83.39025 ,35.229017 ,-83.390167 ,T1,P7,1,7,14,40,yes,yes,3,1,28,138,11,0,NA,NA,NA,no,NA,yes,"5% chew, mine",NA,2016,Y1
