site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,1,22.5,12.5,N,yes,1,1,5,179,17,0,NA,NA,NA,N,NA,Y,"Round feeding holes, leaf miners",,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,2,36,23,N,yes,1,1,6,96,9,1,159,9,bud,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,3,19.5,8.5,N,yes,1,1,3,98,8,0,NA,NA,NA,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,4,19.5,24.5,N,yes,1,1,3,176,12,0,NA,NA,NA,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,5,33,28,N,yes,2,1,3,146,8,0,NA,NA,NA,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,5,33,28,N,yes,2,2,3,158,10,0,NA,NA,NA,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,6,39,29,N,yes,1,1,4,140,8,0,NA,NA,NA,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,7,35,28,N,yes,1,1,3,107,7,0,NA,NA,NA,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,8,27.5,33,N,yes,1,1,4,203,11,0,NA,NA,NA,N,NA,Y,Round feeding holes,,2016,Y1
GH,43.534722,-80.211667,43.534722,-80.211667,T1,P1,50,9,42,44,N,yes,1,1,4,194,11,0,NA,NA,NA,N,NA,Y,"Round feeding holes, leaf miners",,2016,Y1
