site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,1,15,6.5,no,na,1,1,13,125,11,3,"322, 311, 262","19, 16, 14","50%, 25%, early bolt",no,insect 2%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,2,36.5,5,no,na,5,1,6,183,11,2,"373, 296","19, 11","50%, early bolt",no,insect 1%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,2,36.5,5,no,na,5,2,4,158,12,2,"384, 449","17, 18","100%, 100%",no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,2,36.5,5,no,na,5,3,7,178,8,3,"31, 397, 380","5, 24, 18","early bolt, 100%, 20%",no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,2,36.5,5,no,na,5,4,6,186,11,2,"422, 381","23, 19","100%, 10%",no,insect 2%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,2,36.5,5,no,na,5,5,10,185,14,2,"61, 285","6, 12",early bolt,no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,3,12,41,no,na,5,1,9,180,15,1,115,5,early bolt,no,insect 5%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,3,12,41,no,na,5,2,8,155,12,0,,,,no,insect 1%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,3,12,41,no,na,5,3,15,149,5,0,,,,no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,3,12,41,no,na,5,4,12,155,14,2,"44, 24","5, 4",early bolt,no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P1,1,3,12,41,no,na,5,5,18,180,15,0,,,,no,insect 10%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P2,0,NA,NA,NA,NA,na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P3,0,4,1,32,no,na,1,1,3,99,7,0,NA,NA,NA,no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P3,0,6,22,17.5,no,na,1,1,11,81,8,4,"341, 320, 315, 304","24, 19, 22, 19","100%, 100%, 100%, 100%",no,"insect 3%, browning 15%",,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P3,0,5,24,17,no,na,1,1,10,98,10,2,"306, 343","14, 16",100%,no,browning 10%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P3,0,13,48,46,no,na,1,1,9,159,9,3,"190, 280, 422","5, 4, 10","early bolt, early bolt, early bolt",no,browning 1%,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P3,0,12,49,42,no,na,1,1,9,144,10,3,"387, 270, 394","13, 6, 11","10%, 10%, 10%",no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P4,2,11,7,40,no,na,1,1,8,134,8,0,NA,NA,NA,no,no,,,,2015,Y0
JSJ,33.80885,-116.77684,33.80882,-116.77688,T1,P4,2,10,6.5,30,no,na,1,1,9,87,7,4,"395, 214, 415, 372","20, 12, 17, 16","100%, 100%, 100%, 100%",no,no,,,,2015,Y0
