site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,1,4,9,no,NA,1,1,4,102,4,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,2,11,2,no,NA,1,1,5,140,6,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,3,0.5,4,no,NA,1,1,2,142,5,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,4,1,10.3,no,NA,1,1,5,111,7,0,NA,NA,NA,no,,,little pale spots on the leaves and some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,5,2,16.5,no,NA,4,1,5,164,8,1,295,9,seed developing,no,,,little pale spots on the leaves and some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,5,2,16.5,no,NA,4,2,4,132,7,1,280,7,seed developing,no,,,little pale spots on the leaves and some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,5,2,16.5,no,NA,4,3,6,143,6,0,NA,NA,NA,no,,,little pale spots on the leaves and some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,5,2,16.5,no,NA,4,4,4,160,12,1,185,6,seed developing,no,,,little pale spots on the leaves and some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,6,4.7,10.8,no,NA,1,1,2,56,3,0,NA,NA,NA,no,,,little pale spots on the leaves and leaf edge eaten a little,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,7,6.5,5.8,no,NA,1,1,3,126,3,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,8,5.6,24.8,no,NA,1,1,3,85,6,0,NA,NA,NA,no,,,little pale spots on the leaves and the tip of the leaf is eaten ,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,1,3,70,2,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,2,5,123,5,0,NA,NA,NA,no,,,no,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,3,3,85,2,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,4,3,72,2,0,NA,NA,NA,no,,,no,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,5,3,95,2,0,NA,NA,NA,no,,,no,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,6,3,116,4,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,7,3,57,1.5,0,NA,NA,NA,no,,,no,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,8,3,57,2,0,NA,NA,NA,no,,,no,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,9,4,62,2,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,10,6,140,4,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,9,14,6.4,no,NA,11,11,3,80,2,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,10,10.5,11.5,no,NA,2,1,3,168,14,0,NA,NA,NA,no,,,some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,10,10.5,11.5,no,NA,2,2,3,146,8,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,11,12.4,13.1,no,NA,2,1,3,142,7,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,11,12.4,13.1,no,NA,2,2,5,178,10,1,315,8,seed developing,no,,,little pale spots on the leaves and some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,12,10.8,15,no,NA,1,1,4,120,5,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,13,13,25,no,NA,1,1,5,165,13,1,355,11,seed developing,no,,,little pale spots on the leaves and some round holes,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,14,16,24.3,no,NA,2,1,5,85,5,0,NA,NA,NA,no,,,little pale spots on the leaves and the tip of the leaf is eaten ,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,14,16,24.3,no,NA,2,2,3,95,5,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,15,18.8,6.3,no,NA,1,1,3,170,8,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,16,20,3.7,no,NA,1,1,2,120,9,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
KM,57.73493,26.53314,57.73493,26.53322,T1,P1,2,17,22.2,2.3,no,NA,2,1,4,186,10,0,NA,NA,NA,no,,,little pale spots on the leaves,,2015,Y0
