site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,1,2,0,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,2,15,2,no,yes,1,1,7,359,23,NA,NA,NA,NA,yes,yellow & brown chlorosis,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,3,20,6,no,yes,1,1,7,380,18,1,632,18,dispersed,yes,brown chlorosis,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,4,43,6,no,yes,1,1,4,316,17,NA,NA,NA,NA,no,NA,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,5,48,9,no,yes,1,1,5,369,18,NA,NA,NA,NA,no,NA,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,6,44,21,no,yes,1,1,3,320,16,NA,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,7,43,21,no,yes,1,1,3,236,5,NA,NA,NA,NA,no,NA,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,8,41,27,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,9,46,37,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,10,44,44,no,yes,1,1,10,363,19,NA,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,11,42,37,no,yes,1,1,4,315,14,NA,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,12,34,25,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,13,32,29,no,yes,1,1,10,365,17,NA,NA,NA,NA,no,NA,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,14,28,30,no,yes,1,1,6,349,12,NA,NA,NA,NA,no,NA,no,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,15,29,34,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,16,37,47,no,yes,2,1,8,357,14,NA,NA,NA,NA,no,NA,yes,long holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,16,37,47,no,yes,2,2,6,374,15,NA,NA,NA,NA,yes,yellow chlorosis,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,17,39,46,no,yes,1,1,2,261,12,NA,NA,NA,NA,no,NA,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,18,38,48,no,yes,1,1,5,380,15,NA,NA,NA,NA,no,NA,yes,holes,NA,2017,Y1
MN,53.37982,-2.21606,53.37982,-2.21606,T1,P1,0,19,20,35,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y1
