site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,1,24.5,6,,yes,1,1,7,198,21,2,"332, 201","16, 11","early bolt, early bolt",no,,,leaf miner 10%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,2,33,9,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,3,34.5,3,,yes,1,1,7,218,19,1,46,7,early bolt,no,,,leaf miner 5%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,4,29.5,25,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,5,7.5,6.5,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,6,44,6,,yes,1,1,3,110,9,0,NA,NA,NA,no,,,grasshopper 10%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,7,1.5,10,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,8,12.5,24,,yes,2,1,5,205,24,2,"470, 410","24, 16","40%, early bolt",no,,,"leaf miner 10%, caterpillar 5%",,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,8,12.5,24,,yes,2,2,13,210,25,3,"486, 536, 316","24, 29, 13","60%, 50%, early bolt",no,,,stippled 30%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,9,27,12.5,,yes,5,1,6,234,18,1,11,7,NA,no,,,stippled 50%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,9,27,12.5,,yes,5,2,5,195,16,0,NA,NA,NA,no,,,no,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,9,27,12.5,,yes,5,3,4,160,8,0,NA,NA,NA,no,,,no,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,9,27,12.5,,yes,5,4,3,181,10,0,NA,NA,NA,no,,,stippled 10%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,9,27,12.5,,yes,5,5,13,209,19,2,"338, 257","14, 11","early bolt, early bolt",no,,,no,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,10,,,,yes,2,1,7,164,16,4,"40, 386, 364, 323","7, 13, 20, 16","early bolt, early bolt, 100%, 60%",no,,,leaf miner 30%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,10,,,,yes,2,2,6,241,15,3,"393, 311, 305","18, inflorescence missing, 15","80%, inflorescence missing, 70%",no,,,leaf miner 60%,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,11,41,47,,yes,2,1,6,142,16,0,NA,NA,NA,no,,,no,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P4,4,11,41,47,,yes,2,2,8,148,21,0,NA,NA,NA,no,,,no,,2016,Y1
NRM,35.52432,-121.07379,35.52432,-121.0737,T1,P6,5,12,10,39.5,,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,2016,Y1
