site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,10,1.5,46,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,14,23,45.5,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,25,9,27.5,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P3,0,30,43,49.5,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P3,0,32,27,30,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P3,0,37,47.5,29,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P5,2,72,9,3,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P11,0,93,35,18.5,N,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,112,25.4,24,N,NA,1,1,3,85,4,0,NA,NA,NA,NA,,Y,slightly brown pic 3,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,113,45.5,20.5,N,NA,1,1,4,87,6,0,NA,NA,NA,NA,,Y,leaf miner and yellow,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,114,25,19.2,N,NA,1,1,1,60,5,0,NA,NA,NA,NA,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,115,NA,NA,N,NA,1,1,3,74,5,0,NA,NA,NA,NA,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P3,3,116,16,38,N,NA,1,1,3,202,7,0,NA,NA,NA,NA,,Y,brownyellow leaves,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P3,0,117,14,27,N,NA,1,1,2,111,5,0,NA,NA,NA,NA,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P4,1,118,31,22,N,NA,1,1,3,130,7,0,NA,NA,NA,NA,,Y,edge feeding,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P5,2,119,33.5,24.5,N,NA,1,1,2,168,6,0,NA,NA,NA,NA,,Y,edge feeding,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P5,2,120,45,8,N,NA,1,1,3,146,7,0,NA,NA,NA,NA,,Y,feeding hole,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P5,2,121,41.5,4,N,NA,1,1,3,100,4,0,NA,NA,NA,NA,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P12,0,122,45,35,N,NA,1,1,2,120,6,0,NA,NA,NA,NA,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,3,28,33,N,yes,1,1,3,81,5,0,NA,NA,NA,N,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,4,39,29,N,yes,1,1,6,82,9,0,NA,NA,NA,N,,Y,brown feeding hole,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,5,45,27,N,yes,1,1,4,72,8,0,NA,NA,NA,N,,Y,one leaf very eaten (pic 4),,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,6,46,28,N,yes,1,1,1,28,2,0,NA,NA,NA,N,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,7,41,17,N,yes,1,1,7,72,10,0,NA,NA,NA,N,,Y,yellow leaves and round feeding hole,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,8,46.5,12.5,N,yes,1,1,3,62,5,0,NA,NA,NA,N,,Y,edge feeding,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P1,1,9,34.5,8,N,yes,1,1,3,64,4,0,NA,NA,NA,N,,Y,small feeding hole,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,11,2.5,44,N,yes,1,1,3,52,4,0,NA,NA,NA,N,,Y,brown edge (pic 6),,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,12,4,44,N,yes,1,1,5,162,7,1,204,12,mature seeds,N,,Y,brown dead leaves,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,13,10,40,N,yes,1,1,3,144,5,2,172,11,mature seeds,N,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,15,8,37,N,yes,1,1,3,137,5,0,NA,NA,NA,N,,N,NA,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,16,16,31,N,yes,1,1,7,126,7,0,NA,NA,NA,N,,Y,small brown feeding holes,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,17,30,34,N,yes,1,1,6,195,9,4,387,19,mature seeds,N,,Y,round feding holes and larger patches eaten,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,18,31.5,33,N,yes,1,1,6,120,7,1,300,15,mature seeds,N,,Y,round feding holes and larger patches eaten,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,19,30,31.5,N,yes,1,1,4,150,9,2,316,16,mature seeds,N,,Y,round feding holes and larger patches eaten,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,20,37,33.5,N,yes,1,1,3,160,5,0,NA,NA,NA,NA,,Y,yellowbrown and large feeding long edge (pic 7),,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,21,45,39,N,yes,1,1,3,116,6,0,NA,NA,NA,NA,,Y,edge feeding,,2016,Y1
OR_SS,59.2692436,18.10112656 ,59.2691896,18.10116364 ,T1,P2,3,22,46,39,N,yes,1,1,3,132,6,0,NA,NA,NA,NA,,Y,edge feeding,,2016,Y1
