site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_01,1,1,no,NA,1,1,5,166,11,0,NA,NA,NA,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_02,0,4,no,NA,3,2,17,180,18,3,239,28,mature seed,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_02,0,4,no,NA,3,3,10,113,11,4,235,27,mature seed,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_02,0,4,no,NA,3,1,6,194,11,0,NA,NA,NA,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_03,0,5,no,NA,1,1,14,160,11,0,NA,NA,NA,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_04,1,4,no,NA,1,1,16,145,12,4,260,17,mature seed,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_05,4,0,no,NA,1,1,10,101,15,4,270,27,mature seed,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_06,3,0,no,NA,1,1,9,154,19,0,NA,NA,NA,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_07,3,3,no,NA,1,1,9,181,14,0,NA,NA,NA,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_08,3,3,no,NA,1,1,9,220,15,0,NA,NA,NA,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_09,3,5,no,NA,3,2,13,212,9,3,209,18,mature seed,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_09,3,5,no,NA,3,1,16,203,13,5,208,15,dispersed,no,,,no,,2015,Y0
RO,49.28747,-121.66957,49.28737,-121.66955,T1,P1,,T1P1_09,3,5,no,NA,3,3,10,202,11,0,NA,NA,NA,no,,,no,,2015,Y0
