site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,16,1,500,340,no,NA,3,1,19,359,21,10,730,64,flowering,no,NA,NA,leaf mine,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,16,1,535,340,no,NA,3,2,9,387,20,3,671,42,flowering,no,NA,NA,leaf mine,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,16,1,530,365,no,NA,3,3,11,430,21,6,701,49,flowering,no,NA,NA,leaf mine,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P2,26,2,230,240,no,NA,1,1,5,257,17,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P2,29,3,295,230,no,NA,1,1,4,273,11,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P2,29,4,291,65,no,NA,1,1,5,254,19,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,27,5,54,158,no,NA,2,1,5,253,11,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,27,5,78,133,no,NA,2,2,7,211,13,0,NA,NA,NA,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,27,6,304,256,no,NA,3,1,8,342,27,4,643,42,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,27,6,350,278,no,NA,3,2,16,289,36,8,614,56,flower,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,27,6,311,294,no,NA,3,3,3,245,9,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,27,7,150,266,no,NA,1,1,6,283,10,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,27,8,64,315,no,NA,1,1,7,321,21,1,241,13,not flowering yet,no,NA,NA,"leaf mine, clorotic spots",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,9,4,244,no,NA,2,1,5,232,10,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,9,7,228,no,NA,2,2,3,296,7,0,NA,NA,NA,no,NA,NA,leaf mine,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,10,100,226,no,NA,1,1,5,304,9,0,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,11,390,50,yes,NA,1,1,9,289,21,3,657,51,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,12,419,88,yes,NA,1,1,7,300,19,2,521,28,not flowering yet,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,13,499,228,no,NA,1,1,8,365,41,5,622,84,flowering,no ,NA,NA,"leaf mine, clorotic spots",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,14,351,423,no,NA,1,1,16,280,23,4,714,46,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,34,15,108,448,no,NA,1,1,13,271,14,5,672,56,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,19,16,456,285,no,NA,2,1,9,259,16,2,502,16,flowering,no,NA,NA,NA,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,19,16,480,28,no,NA,2,2,6,257,13,0,NA,NA,NA,no,NA,NA,NA,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,19,17,296,336,no,NA,4,1,8,249,22,2,571,32,flowering,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,19,17,280,359,no,NA,4,2,5,245,13,no,NA,NA,NA,no,NA,NA,clorotic spots,NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,19,17,262,351,no,NA,4,3,8,260,16,3,612,39,flowering,no,NA,NA,"clorotic spots, leaf mine",NA,2015,Y0
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,19,17,258,333,no,NA,4,4,5,233,17,1,17,7,not flowering yet,no,NA,NA,clorotic spots,NA,2015,Y0
