site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,1,21,5,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No individual on specified coordiNAtes and the tag is missing.,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,3,40,25,no,yes,1,1,5,186,16,2,370,17,seed developing,no,NA,no,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,4,40,2,no,yes,1,1,5,227,14,0,NA,NA,NA,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,15,1,29,yes,yes,5,1,5,240,9,0,NA,NA,NA,no,NA,yes,NA,"Last year individual 15 had 3 rosettes (clones), but this year 5 of them were counted. Clone increase.",2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,15,1,29,yes,yes,5,2,4,246,11,1,33,8,bud,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,15,1,29,yes,yes,5,3,4,236,9,0,NA,NA,NA,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,15,1,29,yes,yes,5,4,4,257,12,0,NA,NA,NA,yes,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,15,1,29,yes,yes,5,5,4,214,9,0,NA,NA,NA,yes,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,58,7,9,no,yes,1,1,4,215,14,0,NA,NA,NA,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,120,25,14,no,NA,1,1,5,255,10,0,NA,NA,NA,no,NA,yes,NA,New entries (individuals) received no value for survival.,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P1,NA,121,45,2,no,NA,1,1,5,170,12,0,NA,NA,NA,no,NA,no,NA,New entries (individuals) received no value for survival.,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,2,40,20,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No individual on specified coordiNAtes but a tag was found. However, this tag was marked as number 1.",2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,5,33,46,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No individual on specified coordiNAtes and the tag is missing.,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,25,15,30,no,yes,1,1,4,215,10,0,NA,NA,NA,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,27,1,30,no,yes,1,1,3,255,7,0,NA,NA,NA,no,NA,no,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,30,10,21,no,yes,1,1,4,210,15,1,390,15,flowering,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,33,31,6,no,yes,1,1,4,200,12,0,NA,NA,NA,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,35,31,4,no,yes,1,1,6,197,11,0,NA,NA,NA,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,60,5,38,no,yes,1,1,4,363,17,0,NA,NA,NA,no,NA,yes,NA,NA,2016,Y1
SC,53.07226,-8.99231,53.07224,-8.99229,T1,P2,NA,47a,38,29,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No individual on specified coordiNAtes and the tag is missing.,2016,Y1
