site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,77,19.5,7,no,NA,2,1,5,120,60,0,NA,NA,NA,no,caterpillar 20%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,77,19.5,7,no,NA,2,2,5,206,21,0,NA,NA,NA,no,caterpillar 10%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,78,11,11,no,NA,1,1,5,242,22,1,353,18,early bolt,no,caterpillar 10%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,74,42,2,no,NA,1,1,4,290,36,3,"710, 375, 402","38, 15, 22","60%, early bolt, 5%",no,caterpillar 20%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,80,32,14,no,NA,2,1,3,230,11,0,NA,NA,NA,no,caterpillar 30%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,80,32,14,no,NA,2,2,4,143,4,0,NA,NA,NA,no,no,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,79,31,18,no,NA,2,1,3,232,15,0,NA,NA,NA,no,"caterpillar 10%, stippling 5%",,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,79,31,18,no,NA,2,2,5,263,29,2,"132, 35","10, 9","early bolt, early bolt",no,stippling 5%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,97,15,20,no,NA,1,1,2,161,8,0,NA,NA,NA,no,no,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,96,18,21,no,NA,2,1,7,161,9,0,NA,NA,NA,no,caterpillar 10%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,96,18,21,no,NA,2,2,3,173,6,0,NA,NA,NA,no,stippling 10%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,95,25.5,22,no,NA,1,1,3,190,8,0,NA,NA,NA,no,stippling 2%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,76,46,14,no,NA,1,1,2,92,4,0,NA,NA,NA,no,no,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,73,48,3,no,NA,2,1,4,180,17,1,16,4,early bolt,no,caterpillar 5%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,73,48,3,no,NA,2,2,4,153,13,0,NA,NA,NA,no,yellowing 25%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,82,33,23,no,NA,1,1,5,255,22,0,NA,NA,NA,no,caterpillar 10%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,102,4.5,27,no,NA,1,1,2,175,6,0,NA,NA,NA,no,stippling 5%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,93,36,29,no,NA,1,1,3,150,4,0,NA,NA,NA,no,caterpillar 40%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,94,21,36,no,NA,1,1,8,274,45,2,"120, 175","6, 15","early bolt, early bolt",no,caterpillar 20%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,92,16,40,no,NA,1,1,4,311,25,1,22,4,early bolt,no,caterpillar 5%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,100,12,41,no,NA,2,1,4,302,25,1,70,4,early bolt,no,caterpillar 5%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,100,12,41,no,NA,2,2,5,282,16,1,325,26,early bolt,no,caterpillar 10%,,,,2015,Y0
STR,33.6259,-117.55678,33.62589,-117.55676,T1,P1,22,101,0,32,no,NA,1,1,5,65,29,1,192,9,early bolt,no,caterpillar 10%,,,,2015,Y0
