site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease..yes.no.,disease_comments,herbivory..yes.no.,herbivory_comments,other_comments,c_year,s_year
SW729,NA,NA,NA,NA,T1,1,NA,12,12,34,no,NA,0,2,6,147,13,1,195,7,seeds developing,yes,white bits,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,11,12,8,no,NA,0,1,2,124,3,0,0,0,0,no,NA,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,11,12,8,no,NA,0,2,3,101,6,0,0,0,0,no,NA,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,31,11,19,no,NA,0,1,5,79,8,0,0,0,0,no,NA,yes,NA,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,31,11,19,no,NA,0,2,3,74,5,0,0,0,0,yes,white bits,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,42,16,25,no,NA,0,1,6,122,1,0,0,0,0,yes,yellow bits,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,12,12,34,no,NA,0,1,6,64,11,0,0,0,0,no,NA,yes,heavily eaten,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,12,12,34,no,NA,0,3,5,168,13,1,298,12,seeds developing,no,NA,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,75,35,30,no,NA,0,1,4,151,7,0,0,0,0,no,NA,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,67,39,27,no,NA,0,1,7,124,11,0,0,0,0,no,NA,yes,feeding holes,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,9,24,31,no,NA,0,1,4,103,7,0,0,0,0,no,NA,yes,NA,NA,2017,Y0
SW729,NA,NA,NA,NA,T1,1,NA,5,7,15,no,NA,0,1,6,65,11,0,0,0,0,no,NA,yes,Feeding holes,NA,2017,Y0
