site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
TJ,NA,NA,NA,NA,T1,P2,NA,1,NA,NA,NA,NA,1,1,6,312,11,1,303,4,damaged,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,2,NA,NA,NA,NA,1,1,5,207,15,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,3,NA,NA,NA,NA,1,1,4,239,14,1,220,8,seeds developing,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,4,NA,NA,NA,NA,1,1,4,335,11,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,5,NA,NA,NA,NA,1,1,4,352,13,2,363,12,seeds developing,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,6,NA,NA,NA,NA,1,1,6,350,10,2,314,14,seeds developing,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,8,NA,NA,NA,NA,1,1,7,397,11,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,9,NA,NA,NA,NA,1,1,6,379,10,1,318,13,seeds developing,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,10,NA,NA,NA,NA,1,1,6,227,18,2,268,18,seeds developing,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,11,NA,NA,NA,NA,1,1,6,209,7,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,13,NA,NA,NA,NA,1,1,5,230,8,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,14,NA,NA,NA,NA,1,1,4,313,8,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,15,NA,NA,NA,NA,1,1,4,242,6,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,16,NA,NA,NA,NA,1,1,2,78,4,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,17,NA,NA,NA,NA,1,1,2,101,6,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,18,NA,NA,NA,NA,1,1,4,203,10,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,19,NA,NA,NA,NA,1,1,4,225,7,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,20,NA,NA,NA,NA,1,1,2,105,4,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,21,NA,NA,NA,NA,1,1,3,175,5,0,NA,NA,NA,NA,NA,NA,NA,NA,2015,Y0
TJ,NA,NA,NA,NA,T1,P2,NA,55,NA,NA,NA,NA,1,1,4,87,2,1,394,16,seeds developing,NA,NA,NA,NA,NA,2015,Y0
