site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,1,21,48,no,yes,1,1,4,250,7,0,NA,NA,NA,yes,chlorosis,yes,holes,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,2,37,43,no,yes,2,1,4,147,7,0,NA,NA,NA,no,NA,yes,holes,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,2,37,43,no,yes,2,2,2,6,2,0,NA,NA,NA,no,NA,no,NA,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,3,45,45,no,yes,1,1,7,194,10,0,NA,NA,NA,no,NA,yes,"mites, holes, mines",,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,4,34,33,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,5,25,34,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,6,18,15,no,yes,4,1,5,120,6,0,NA,NA,NA,no,NA,yes,"mites, holes",,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,6,18,15,no,yes,4,2,2,261,7,0,NA,NA,NA,yes,virus,yes,"mites, chewing",,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,6,18,15,no,yes,4,3,2,246,7,0,NA,NA,NA,yes,virus,yes,"mites, holes",,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,6,18,15,no,yes,4,4,3,376,7,0,NA,NA,NA,yes,virus,yes,mines,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,7,4,41,no,yes,2,1,6,298,7,0,NA,NA,NA,yes,chlorosis,yes,"mites, holes, chewing",,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,7,4,41,no,yes,2,2,6,199,10,0,NA,NA,NA,no,NA,yes,chewing,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,101,9,42,yes,NA,1,1,5,317,9,0,NA,NA,NA,no,NA,yes,"mine, chewing, mites",,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,8,6,11,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,102,4,29,no,NA,1,1,6,208,5,0,NA,NA,NA,yes,chlorosis,no,NA,,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,9,10,10,no,yes,1,1,8,171,11,1,516,9,developing seeds,yes,brown stains,yes,"mites, holes",,2016,Y1
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,15,103,5,15,no,NA,4,1,2,231,9,0,NA,NA,NA,yes,virus,yes,holes,,2016,Y1
