site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,1,13,18,N,NA,1,1,5,190,10,0,NA,NA,NA,N,NA,Y,NA,"nly had 110 plant tags so caught a couple of plants on edge of qudrat. With corners, I estimate that quadrat size was still about right. (i.e. qudrats cut off some of the area). Density was very high",2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,2,11,19,N,NA,1,1,6,180,11,0,NA,NA,NA,N,NA,Y,NA,"rather than trying to guess whether something was aclone or not, unelss they were obviusly attaced to each other, we called plants individual plants ratehr than clones ",2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,3,5,42,N,NA,2,1,6,215,15,0,NA,NA,NA,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,3,5,41,N,NA,2,2,6,226,15,0,NA,NA,NA,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,4,4,47,N,NA,1,1,4,260,11,0,NA,NA,NA,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,5,3,38,N,NA,1,1,5,198,13,0,NA,NA,NA,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,6,3,34,N,NA,1,1,2,105,5,0,NA,NA,NA,N,NA,N,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,7,38,47,N,NA,1,1,3,198,8,0,NA,NA,NA,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,8,36,47,N,NA,1,1,3,214,7,0,NA,NA,NA,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,9,46,9,N,NA,2,1,8,255,7,0,NA,NA,NA,Y,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,9,45,10,N,NA,2,2,6,245,6,1,165,broken,broken,Y,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,10,5,25,N,NA,1,1,5,194,9,0,NA,NA,NA,Y,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,11,5,26,N,NA,1,1,5,145,6,0,NA,NA,NA,N,NA,N,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,12,38,13,N,NA,1,1,5,246,10,1,345,8,mature seed / seed dispersed,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,13,45,41,N,NA,1,1,4,182,6,0,NA,NA,NA,N,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,14,45,12,N,NA,1,1,5,260,9,1,551,12,mature seed / seed dispersed,Y,NA,Y,NA,,2016,Y0
WIN,51.0432,-1.30818,51.0432,-1.30818,T1,P1,NA,15,44,10,N,NA,1,1,5,280,10,1,285,NA,"broken, no inflorescence",N,NA,Y,NA,,2016,Y0
