site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
ARH,NA,NA,NA,NA,T1,P1,1,1,12,45,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P1,1,2,31,45,no,survived,3,1,5,264,6,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P1,1,2,31,45,yes,survived,3,2,5,325,6,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P1,1,2,31,45,yes,survived,3,3,4,48,4,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P1,1,3,40,40,no,survived,1,1,3,46,2,0,NA,NA,NA,no,NA,no,NA,Back from dormancy? Or not found last year due to small size? Or possibly seedling? ,2017,Y2
ARH,NA,NA,NA,NA,T1,P1,1,4,45,4,yes,NA,2,1,8,188,15,1,355,8,seeds developing ,no,NA,no,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P1,1,4,45,4,yes,NA,2,2,4,22,13,1,347,10,seeds developing ,no,NA,no,NA,Leaf length wrong? Could be 122? Or 220?,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,1,11,45,no,survived,1,1,5,158,8,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,2,25,46,no,died,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,3,28,45,no,survived,1,1,7,236,10,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,4,30,46,no,survived,1,1,3,170,5,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,5,38,43,no,survived,1,1,6,250,13,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,6,24,34,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,7,19,22,no,survived,1,1,10,243,11,1,235,5,seeds developing ,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,8,34,8,no,survived,2,1,3,135,15,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,8,34,8,yes,NA,2,2,3,90,12,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,9,3,35,yes,survived,1,1,4,176,6,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,10,3,37,yes,survived,1,1,4,347,13,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,11,11,48,yes,survived,1,1,4,216,11,2,410,7,seeds developing ,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,12,10,46,yes,survived,1,1,4,234,8,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,13,34,45,yes,survived,1,1,6,278,11,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,14,31,48,yes,survived,1,1,4,212,5,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,15,36,48,no,survived,1,1,4,206,7,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P2,0,16,39,48,yes,NA,1,1,4,188,9,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,1,46,44,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,2,43,42,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,3,38,38,no,survived,1,1,6,215,8,1,307,9,seeds developing ,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,4,37,45,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,5,34,32,no,survived,1,1,8,195,10,2,391,14,NA,NA,NA,NA,NA,Phenology not recorded,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,6,35,30,no,survived,3,1,3,90,3,0,NA,NA,NA,NA,NA,NA,NA,"Small, so could be new seedling. ",2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,6,35,30,no,NA,3,2,2,84,3,0,NA,NA,NA,NA,NA,NA,NA,"Small, so could be new seedling. ",2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,6,35,30,no,NA,3,3,2,22,2,0,NA,NA,NA,NA,NA,NA,NA,"Small, so could be new seedling. ",2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,7,43,20,no,survived,2,1,4,253,8,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,7,43,20,yes,survived,2,2,2,114,5,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,8,40,20,no,survived,1,1,2,191,4,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,9,39,17,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,10,47,18,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,11,47,5,no,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,12,17,23,no,survived,3,1,5,120,6,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,12,17,23,yes,NA,3,2,2,142,5,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
ARH,NA,NA,NA,NA,T1,P3,0,12,17,23,yes,NA,3,3,6,137,4,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
