site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3265,12,13,yes,survived,3,1,4,334,18,0,,,,no,Leaf miner,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3265,11,14,yes,,3,2,3,162,6,0,,,,no,Leaf miner,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3265,13,15,yes,,3,3,3,150,6,0,,,,no,Leaf miner,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3267,35,30,no,survived,1,1,12,404,20,0,,,,no,Leaf miner,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3258,26,38,no,dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3261,14,40,yes,survived,3,1,5,220,12,0,,,,no,Leaf miner,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3261,14,39,yes,,3,2,2,35,2,0,,,,no,none,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3261,12,40,yes,,3,3,2,147,11,0,,,,no,none,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3262,7,38,no,survived,1,1,6,190,6,0,,,,no,Leaf miner. Notches,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3270,6,36,no,survived,1,1,4,294,14,0,,,,no,Leaf miner,,,,2017,Y2
BHU,-43.649957 S,172.456083 E,-43.649957 S,172.456083 E,T1,P18,0,3273,12,35,no,survived,1,1,4,136,13,0,,,,no,Leaf miner. Windows,,,,2017,Y2
