site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,105,35,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,18,35,31,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,1,40,32,yes,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,1,40,32,yes,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,12,20,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,19,13,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,19,13,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,19,13,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,19,13,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,19,13,43,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P1,0,3,47,47,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P10,0,50,12,22,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P11,0,104,19,47,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P11,0,55,35,33,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P11,0,53,48,19,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,52,33,37,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,44,46,32,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,42,38,26,no,yes,1,1,1,na,na,na,na,na,na,na,na,na,na,"tiny, new growth from a root stock",2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,51,45,33,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,103,15,13,no,yes,3,1,2,140,5,na,na,na,na,no,na,no,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,102,45,45,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,102,45,45,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,46,45,15,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,59,29,41,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,60,36,29,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,60,36,29,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,root stock still visible,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,60,36,29,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P12,0,58,41,8,no,yes,1,1,2,50,1,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P13,0,101,24,21,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P13,0,48,5,16,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P13,0,98,18,29,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P13,0,97,20,31,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
BI,53.37297,-6.139722,53.37294,-6.139833,T1,P13,0,57,12,13,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2018,Y2
