site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,1,23,10,NA,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,2,22,7,NA,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,2,22,7,NA,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,2,22,7,NA,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,3,31.5,19,no,survived,1,1,4,91,13,0,NA,NA,NA,NA,,herbivory,,,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,4,45,38,NA,died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,136,6,18,no,survived,1,1,7,131,20,0,NA,NA,NA,NA,,herbivory,,plants 136 onwards were not reocrded in 2017,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P1,NA,137,33,5,no,survived,1,1,4,88,11,0,NA,NA,NA,NA,,herbivory,,plants 136 onwards were not reocrded in 2017,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P2,NA,5,10,13,no,survived,2,1,4,115,11,0,NA,NA,NA,NA,,herbivory,,second rosette added in 2018,2017,Y2
DP,-27.49837,153.02602,-27.49837,153.02602,T1,P2,NA,5,10,13,no,survived,2,2,3,88,9,0,NA,NA,NA,NA,,herbivory,,,2017,Y2
