site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,1,31,20,yes,survived,2,1,3,160,6,0,0,,,no,,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,1,31,20,yes,survived,2,2,3,185,5,0,0,,,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,2,47,21,no,survived,1,1,5,290,19,1,570,19,seeds developing,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,survived,5,1,5,260,7,1,280,6,seeds developing,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,survived,5,2,5,10,25,1,350,8,seeds developing,no,,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,survived,5,3,4,230,6,0,0,,,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,survived,5,4,5,300,7,0,0,,,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,3,42,29,yes,survived,5,5,4,240,5,0,0,,,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,9,41,32,no,survived,1,1,3,230,6,0,0,,,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,7,24,41,no,survived,1,1,6,250,9,1,450,10,seeds developing,yes,leaves partly dried,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,8,25,43,no,survived,1,1,4,290,13,0,0,,,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,6,15,50,no,survived,1,1,6,190,12,0,0,,,yes,leaves partly dried,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,4,2,46,no,survived,1,1,4,210,9,1,430,14,seeds developing,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P1,0,5,4,47,no,survived,1,1,6,220,11,0,0,,,yes,rust,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,10,24,1,no,survived,1,1,4,230,9,0,0,,,yes,one leaf partly dried,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,11,44,1,no,survived,1,1,2,150,6,0,0,,,no,,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,12,41,12,yes,survived,5,1,4,310,12,0,0,,,no,,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,12,41,12,yes,survived,5,2,3,280,9,0,0,,,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,12,41,12,yes,survived,5,3,3,220,8,0,0,,,no,,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,12,41,12,yes,survived,5,4,2,170,7,0,0,,,no,,yes,mining,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,12,41,12,yes,survived,5,5,3,280,15,1,450,13,seeds developing,no,,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,13,25,29,no,survived,1,1,3,140,6,0,0,,,yes,leaves partly dried,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,14,3,32,,died,,,,0,,,0,,,,,,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P2,0,15,46,48,,died,,,,0,,,0,,,,,,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P3,0,138,35,5,yes,survived,2,1,4,240,14,1,520,13,seeds developing,yes,leaves partly dried,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P3,0,138,35,5,yes,survived,2,2,2,240,14,1,490,13,flowering,yes,leaves partly dried,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P3,0,139,38,4,no,survived,1,1,5,270,11,0,0,,,yes,leaves partly dried,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P3,0,16,41,12,yes,survived,9,1,5,180,3,0,0,,,yes,leaves partly dried,no,,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P3,0,16,41,12,yes,survived,9,2,3,180,3,0,0,,,yes,leaves partly dried,yes,holes,,2017,Y2
EL,58.2597167,26.35125,58.2597167,26.3513166,T1,P3,0,16,41,12,yes,survived,9,3,4,210,5,0,0,,,no,,yes,mining,,2017,Y2
