site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,1,10,10,No,yes,1,1,3,157,7,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,2,37,19,No,yes,1,1,4,142,7,1,351,11,seeds dispersed,no,NA,no,NA,"check data sheets, not entered for 2016",2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,3,46,25,Yes,yes,4,1,3,141,6,0,NA,NA,NA,no,NA,no,NA,clone with itself,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,3,46,25,No,yes,4,2,3,95,2,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,3,46,25,No,yes,4,3,4,176,6,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,3,46,25,No,yes,4,4,1,45,2,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,4,44,29,No,yes,1,1,3,149,4,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,5,35,27,No,yes,1,1,3,129,6,1,337,10,seeds dispersed,yes,fungus,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,6,44,35,No,yes,1,1,3,85,4,0,NA,NA,NA,yes,rust,no,NA,new juvenile,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,7,46,32,No,yes,1,1,3,164,5,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,8,48,38,No,yes,1,1,3,140,5,1,185,3,dry,yes,rust,NA,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,9,45,38,No,yes,1,1,3,95,4,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,10,32,45,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead.  Dormant? Tag clearlz visible no plant,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,11,27,30,No,yes,1,1,2,81,2,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,12,24,16,No,yes,1,1,4,165,6,0,NA,NA,NA,no,NA,yes,munched,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,13,15,29,Yes,yes,5,1,2,113,4,1,335,7,seeds developing,no,NA,no,NA,clone with itself,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,13,15,29,Yes,yes,5,2,2,127,4,0,NA,NA,NA,no,NA,yes,holes,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,13,15,29,Yes,yes,5,3,2,111,5,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,13,15,29,Yes,yes,5,4,2,160,5,0,NA,NA,NA,no,NA,yes,munched,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,13,15,29,Yes,yes,5,5,2,196,5,0,NA,NA,NA,yes,rust,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,14,2,23,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead, tag left",2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,15,6,19,No,yes,1,1,3,134,5,0,NA,NA,NA,no,NA,yes,munched,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,16,8,6,Yes,yes,4,1,3,206,9,1,387,6,seeds dispersed,yes,lumps,no,NA,clone with itself,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,16,8,6,Yes,yes,4,2,2,116,2,0,NA,NA,NA,yes,lumps,no,NA,NA,2017,Y2
HR,46.34465,25.61701667,46.34465,25.61701667,T1,P1,,16,8,6,Yes,yes,4,3,2,176,7,0,NA,NA,NA,no,NA,no,NA,NA,2017,Y2
