site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P3,NA,22,9,29,no,y,1,1,6,286,10,6,362,12,seeds develpong,no,NA,yes,caterpillar,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P4,NA,65,27,35,no,y,1,1,3,186,6,0,NA,NA,NA,no,NA,yes,cheved on by caterpillar,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P2,NA,75,9,34,n,y,1,1,7,175,15,2,365,15,seeds develpong,no,NA,yes,eaten,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P1,NA,7,5,27,n,new,1,1,2,20,5,0,NA,NA,NA,lumps,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P3,NA,7,2,5,n,y,1,1,4,169,7,0,NA,NA,NA,n,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P2,NA,8,29,39,n,y,1,1,4,206,7,2,326,13,seeds develpong,no,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P1,NA,13,15,0,y,y,6,2,3,192,9,0,NA,NA,NA,no,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P1,NA,13,15,0,y,y,6,3,2,185,10,0,NA,NA,NA,no,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P1,NA,13,15,0,y,y,6,5,3,171,18,2,321,15,seeds develpong,no,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P1,NA,22,21,16,n,y,1,1,5,307,6,2,357,15,seeds develpong,lumps/rust,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P4,NA,24,6,35,y,y,4,4,5,262,11,0,NA,NA,NA,no,NA,yes,holes,clone with itself,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P3,NA,35,26,43,no,y,1,1,3,255,10,1,251,1,seeds develpong,no,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P2,NA,36,40,31,n,y,1,1,3,187,11,2,210,7,seeds develpong,no,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P4,NA,38,19,10,y,y,1,1,3,120,8,1,256,7,seeds develpong,no,NA,yes,holes,NA,2017,Y2
IO,53.05706 N,009.51672 W,53.05708 N,009.51671 W,T1,P2,NA,39,8,19,n,y,1,1,4,236,7,1,130,6,mature seeds,no,NA,yes,holes,NA,2017,Y2
