site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,1,7,3,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,2,8,4,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,3,5,9,no,1,1,1,5,76,10,2,216,11,seeds dispersed,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,4,9,0,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,5,10,1,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,6,19,4,no,1,1,1,1,45,7,0,,,,,,1,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,7,20,9,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,8,25,10,no,1,1,1,3,54,7,0,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,9,31,2,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,10,38,4,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,11,46,3,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,12,2,18,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,13,6,16,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,14,15,16,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,15,17,15,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,16,25,11,no,1,1,1,2,47,20,0,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,17,28,2,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,18,28.5,13,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,19,25,15,no,1,1,1,1,21,9,0,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,20,1,20,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,21,12,27,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,22,12,23,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,23,23,29,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,24,7,32,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,25,46,12,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,26,25,31,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,27,28,31,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,28,43,46,no,0,,,,,,,,,,,,,,,2018,Y2
LK,53.19242,-1.762289,53.19248,-1.762431,T1,P1,NA,29,16,49,no,0,,,,,,,,,,,,,,,2018,Y2
