site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
PM,na,na,na,na,T1,1,na,2,14,26,na,yes,1,1,12,350,19,1,600,17,flowering,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,1,na,3,65,5.5,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,1,na,4,50,5,na,yes,1,1,6,400,20,1,95,5,bud,na,na,na,1.0%,na,2017,Y2
PM,na,na,na,na,T1,2,na,5,na,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,2,na,6,na,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,2,na,7,79,31,na,yes,1,1,14,350,20,2,620,26,seeds,na,na,na,10.0%,na,2017,Y2
PM,na,na,na,na,T1,2,na,8,60,55,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,2,na,9,60,54,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,2,na,10,60,53,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,2,na,11,70,23,na,yes,1,1,8,143,12,0,0,0,0,na,na,na,1.0%,na,2017,Y2
PM,na,na,na,na,T1,2,na,12,na,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,2,na,13,76,17,na,yes,1,1,5,255,15,0,0,0,0,na,na,na,15.0%,na,2017,Y2
PM,na,na,na,na,T1,2,na,14,97,33,na,yes,1,1,4,190,4,1,512,25,seeds,na,na,na,15.0%,na,2017,Y2
PM,na,na,na,na,T1,2,na,15,na,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,2,na,16,na,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,3,na,17,101,15,na,yes,1,1,6,420,18,0,510,23,na,na,na,na,2.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,18,106,9,na,yes,1,1,5,410,34,2,585,10,flowering,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,2,na,19,79,52,na,yes,1,1,6,285,15,0,0,0,0,na,na,na,0.5%,na,2017,Y2
PM,na,na,na,na,T1,2,na,20,83,52,na,yes,1,1,8,320,18,0,0,0,0,na,na,na,10.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,21,110,51,na,yes,1,1,5,225,15,0,0,0,0,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,22,112,51,na,yes,1,1,7,245,15,2,445,18,seeds,na,na,na,5.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,23,114,51,na,yes,1,1,5,175,23,2,430,23,seeds,na,na,na,4.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,24,117,14,na,yes,1,1,7,355,30,0,0,0,0,na,na,na,0.5%,na,2017,Y2
PM,na,na,na,na,T1,3,na,25,119,14,na,yes,1,1,4,240,12,0,0,0,0,na,na,na,8.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,26,121,14,na,yes,1,1,8,390,28,2,405,5,seeds,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,27,135,25,na,yes,1,1,5,290,12,0,0,0,0,na,na,na,0.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,28,130,23,na,yes,1,1,8,350,16,1,270,0,0,na,na,na,2.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,29,132,23,na,yes,1,1,9,380,23,1,520,15,seeds,na,na,na,1.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,30,121,10,na,yes,1,1,2,150,10,0,0,0,0,na,na,na,50.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,31,129,10,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,3,na,32,138,10,na,yes,1,1,7,480,25,1,332,8,bud,na,na,na,5.0%,na,2017,Y2
PM,na,na,na,na,T1,3,na,33,na,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,3,na,34,146,42,na,yes,1,1,2,255,22,1,455,18,seeds,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,35,168,6,na,yes,1,1,7,215,14,0,0,0,0,na,na,na,2.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,36,172,6,na,yes,1,1,6,305,17,0,0,0,0,na,na,na,10.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,38,186,6,na,yes,1,1,5,390,25,0,0,0,0,na,na,na,10.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,39,164,45,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,4,na,41,191,50,na,yes,1,1,10,300,18,3,475,5,seeds,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,5,na,42,250,8,na,yes,1,1,5,315,16,0,0,0,0,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,5,na,43,244,15,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,6,na,44,270,13,na,yes,1,1,4,275,9,0,0,0,0,na,na,na,1.0%,na,2017,Y2
PM,na,na,na,na,T1,6,na,45,266,24,na,yes,1,1,6,320,19,0,0,0,0,na,na,na,10.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,47,279,20,na,yes,1,1,5,260,15,0,0,0,0,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,48,273,26,na,yes,1,1,8,275,30,1,635,20,seeds,na,na,na,6.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,49,285,21,na,yes,1,1,4,215,7,0,0,0,0,na,na,na,5.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,50,285,19,na,yes,1,1,5,255,15,0,0,0,0,na,na,na,20.0%,na,2017,Y2
PM,na,na,na,na,T1,4,na,51,285,17,na,yes,1,1,6,340,18,1,550,20,seeds,na,na,na,4.0%,na,2017,Y2
PM,na,na,na,na,T1,6,na,52,287,8,na,yes,1,1,5,260,18,0,0,0,0,na,na,na,10.0%,na,2017,Y2
PM,na,na,na,na,T1,6,na,53,284,5,na,no,1,1,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,6,na,54,288,5,na,yes,1,1,4,270,15,0,0,0,0,na,na,na,40.0%,na,2017,Y2
PM,na,na,na,na,T1,6,na,55,288,20,na,no,1,1,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,6,na,56,293,12,na,yes,1,1,16,370,20,0,0,0,0,na,na,na,1.0%,na,2017,Y2
PM,na,na,na,na,T1,6,na,57,295,32,na,yes,1,1,5,365,16,1,100,0,0,na,na,na,10.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,58,303,25,na,yes,1,1,13,200,14,2,450,23,seeds,na,na,na,2.0%,na,2017,Y2
PM,na,na,na,na,T1,6,na,59,298,25,na,yes,1,1,3,180,15,0,0,0,0,na,na,na,0.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,60,311,24,na,yes,1,1,13,370,22,4,535,25,seeds,na,na,na,5.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,61,308,25,na,yes,1,1,7,350,17,0,0,0,0,na,na,na,8.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,62,314,23,na,yes,1,1,5,440,13,2,550,8,flowering,na,na,na,5.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,63,337,11,na,yes,1,1,1,120,10,0,0,0,0,na,na,na,70.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,64,334,11,na,yes,1,1,2,270,8,0,0,0,0,na,na,na,60.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,65,330,18,na,yes,1,1,7,390,15,1,500,15,seeds,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,7,na,67,334,36,na,yes,1,1,4,210,10,0,0,0,0,na,na,na,4.0%,na,2017,Y2
PM,na,na,na,na,T1,8,na,68,330,50,na,yes,1,1,5,245,7,4,580,22,seeds,na,na,na,1.0%,na,2017,Y2
PM,na,na,na,na,T1,8,na,69,364,34,na,yes,1,1,5,270,20,1,460,18,seeds,na,na,na,3.0%,na,2017,Y2
PM,na,na,na,na,T1,8,na,71,375,16,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
PM,na,na,na,na,T1,8,na,72,370,21,na,yes,1,1,7,410,29,3,730,39,seeds,na,na,na,20.0%,na,2017,Y2
PM,na,na,na,na,T1,8,na,73,388,8,na,no,1,1,na,na,na,na,na,na,na,na,na,na,na,na,2017,Y2
