site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,1,57,376,157,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,191,35,105,no,NA,1,1,12,258,35,4,552,32,f,NA,NA,NA,leaf_miner/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,192,335,190,no,NA,1,1,27,263,22,0,NA,NA,NA,NA,NA,NA,hedge_herbivory/leaf_miner/clorotic_spots,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,193,400,350,no,NA,1,1,12,340,24,0,NA,NA,NA,NA,NA,NA,leaf_miner/clorotic_spots,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,194,372,349,no,NA,1,1,17,293,15,0,NA,NA,NA,NA,NA,NA,leaf_miner/clorotic_spots,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,195,424,251,no,NA,1,1,26,280,21,8,34,4,f,NA,NA,NA,leaf_miner/clorotic_spots/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,196,196,473,no,NA,1,1,5,285,25,0,NA,NA,NA,NA,NA,NA,leaf_miner/clorotic_spots/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P2,1,197,244,336,no,NA,1,1,31,318,28,0,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,2,199,410,400,no,NA,1,1,18,354,20,1,144,6,boot,NA,NA,NA,clorotic_spots,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,2,200,290,300,no,NA,1,1,6,124,13,0,NA,NA,NA,NA,NA,NA,clorotic_spots/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,2,201,449,0,,NA,1,1,10,316,28,2,127,9,boot,NA,NA,NA,clorotic_spots/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,0,202,310,490,no,NA,1,1,5,212,17,0,NA,NA,NA,NA,NA,NA,leaf_miner/clorotic_spots,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,0,203,210,0,no,NA,1,1,6,270,21,0,NA,NA,NA,NA,NA,NA,leaf_miner/clorotic_spots,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,,204,150,150,no,NA,2,1,13,216,21,2,310,11,f,NA,NA,NA,clorotic_spots/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,,204,145,150,no,NA,2,2,8,281,22,3,79,4,boot,NA,NA,NA,clorotic_spots/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,4,206,220,130,no,NA,1,1,8,327,20,0,NA,NA,NA,NA,NA,NA,leaf_miner/clorotic_spots,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,4,207,61,10,no,NA,1,1,11,280,33,6,569,66,f,NA,NA,NA,clorotic_spots/leaf_miner/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P11,1,209,165,5,no,NA,1,1,5,156,9,0,NA,NA,NA,NA,NA,NA,clorotic_spots/hedge_herbivory,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,1,533,341,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,1,480,338,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,1,500,340,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,1,535,340,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P1,1,1,530,240,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P2,1,3,295,230,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,0,5,54,158,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,0,5,78,133,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P3,0,6,311,294,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P4,2,11,390,50,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,0,17,296,336,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,0,17,280,359,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,0,17,262,351,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P5,0,17,258,333,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
RUSC,29.65724,-95.44385,29.65732,-95.4439,T1,P6,4,21,47,117,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,Y2
