site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,1,A,8,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,2,C,7,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,3,A,3,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,4,CD,2_3,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,5,E,3_4,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,6,FG,5_6,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,8,H,1,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,9_10,G_H,6_7,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,16_17,I_J,9,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,15,E,10,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,14,E,10,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P1,,11_12_13,F,9,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,21,A_B,10,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,22,B,10,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,23,A_B,9_10,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,24_25,B_C,8_9,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,100,BC,7,yes,new,1,1,1,130,12,0,,,,,,likely emerged from rhizome,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,26,B,7,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,28_29_30,C_D,5_6,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,31,E,5,no,1,6,1,2,130,10,0,,,,,,some plants might have moved from original location: I kept the original location but perhaps this should be updated next year,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,31,E,5,no,1,6,2,4,90,11,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,31,E,5,no,1,6,3,3,90,5,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,31,E,5,no,1,6,4,1,20,3,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,31,E,5,no,1,6,5,2,95,4,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,31,E,5,no,1,6,6,2,111,14,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,27,A,3,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,32,E,2,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,33,F,2,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,34,G,1,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,35,F_G,7_8,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,36,G,9_10,,0,,,,,,,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,37,G,10,no,1,3,1,2,96,6,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,37,G,10,no,1,3,2,2,115,10,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,37,G,10,no,1,3,3,3,131,12,0,,,,,,,,,2018,Y2
SBK,47.40025,19.15878,47.40025,19.15878,T1,P2,,38,G_H,3_4,,0,,,,,,,,,,,,,,,2018,Y2
