site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,1,21,48,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,2,37,43,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,3,45,45,no,yes,1,1,2,163,7,1,164,3,flowering,no,NA,yes,"mites, holes",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,6,18,15,no,yes,1,1,2,110,5,NA,NA,NA,NA,no,NA,yes,"mites, mines",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,7,4,41,no,yes,2,1,4,176,9,NA,NA,NA,NA,no,NA,yes,"mites, holes, chewed",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,7,4,41,no,yes,1,2,4,192,6,NA,NA,NA,NA,no,NA,yes,"mites, holes, chewed",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,9,10,10,no,yes,1,1,4,243,7,1,220,5,flowering,yes,brown stains,yes,"mites, holes",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,10,6,7,no,yes,1,1,3,117,3,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,11,21,6,no,yes,1,1,2,146,4,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,12,33,13,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,13,36,3,no,yes,1,1,2,182,6,NA,NA,NA,NA,yes,brown stains,yes,"mites, chewed",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,14,38,4,no,yes,1,1,4,255,8,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,15,47,6,no,yes,1,1,3,192,7,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,16,45,8,no,yes,1,1,7,217,11,NA,NA,NA,NA,no,NA,yes,"mites, mines",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,101,9,42,no,yes,1,1,1,108,4,NA,NA,NA,NA,no,NA,yes,"mines, mites",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,102,4,29,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,103,5,15,no,yes,4,1,4,207,4,NA,NA,NA,NA,no,NA,yes,"mites, mines, chewed",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,103,5,15,no,yes,4,2,2,186,4,NA,NA,NA,NA,no,NA,yes,"mites, mines, chewed",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,103,5,15,no,yes,4,3,2,120,3,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,103,5,15,no,yes,4,4,2,236,5,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,104,8,13,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,105,12,14,no,yes,1,1,5,225,9,NA,NA,NA,NA,yes,virus,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,106,34,20,no,yes,1,1,2,110,2,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,107,22,11,no,yes,1,1,5,271,10,NA,NA,NA,NA,no,NA,yes,"mites, mines, holes",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,108,33,36,no,yes,1,1,2,187,5,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,109,29,32,no,yes,1,1,4,212,9,1,215,5,dry,no,NA,yes,"mites, mines",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,110,39,37,no,yes,1,1,5,257,11,NA,NA,NA,NA,yes,virus,yes,"mites, chewing",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P1,6,130,40,4,no,NA,1,1,3,196,9,NA,NA,NA,NA,no,NA,yes,"mites, holes, chewed",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,17,7,41,no,yes,1,1,3,190,8,NA,NA,NA,NA,no,NA,yes,"mites, chewing",,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,18,6,39,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,19,31,37,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,20,43,29,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,21,23,22,no,yes,1,1,3,221,8,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,22,5,15,no,yes,1,1,3,200,7,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,23,11,8,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,24,29,14,no,yes,1,1,2,111,3,NA,NA,NA,NA,no,NA,no,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P2,11,111,35,23,no,yes,1,1,3,120,5,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,25,33,41,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,26,42,34,no,yes,2,1,3,101,6,NA,NA,NA,NA,no,NA,no,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,26,42,34,no,yes,2,2,2,83,4,NA,NA,NA,NA,no,NA,no,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,27,35,32,no,yes,1,1,3,196,8,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,28,15,32,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,29,11,33,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,30,5,29,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,31,48,18,no,yes,1,1,4,181,8,NA,NA,NA,NA,no,NA,yes,mites,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,32,47,8,no,yes,1,1,2,166,6,NA,NA,NA,NA,no,NA,no,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,112,7,40,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P3,2,113,47,30,no,yes,1,1,3,117,8,NA,NA,NA,NA,no,NA,yes,holes,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P4,4,34,44,50,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2017,Y2
TUE,48.53974,9.036736,48.5397,9.036825,T1,P4,4,35,21,37,no,yes,1,1,2,85,3,NA,NA,NA,NA,no,NA,no,NA,,2017,Y2
