site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,1,280,430,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,2,200,390,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,3,190,90,,did not see,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,4,130,100,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,5,40,240,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,6,140,270,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,7,40,190,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,8,20,210,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,9,440,220,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,102,420,240,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,151,650,310,No,yes,1,1,3,80,5,0,,,,no,,no,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,152,220,410,No,yes,1,1,3,62,6,0,,,,no,,yes,<1%,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P1,2,153,350,400,No,yes,1,1,3,47,3,0,,,,no,,yes,5%,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P2,1,10,500,460,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P2,1,11,90,50,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P2,1,12,160,260,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P2,1,13,310,200,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P2,1,2_1,460,340,No,na,1,1,3,56,4,0,,,,no,,no,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,14,160,10,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,15,40,100,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,16,190,20,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,17,150,80,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,18,220,80,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,19,300,180,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,20,290,250,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,21,440,60,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,22,360,320,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,23,260,100,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,24,300,430,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,25,380,440,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P3,0,3_1,150,80,No,na,1,1,2,9,2,0,,,,yes,brown spot,no,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P4,0,26,390,360,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P5,0,27,160,210,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P5,0,28,120,20,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P5,0,103,380,400,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P5,0,5_1,320,80,No,na,1,1,2,62,2,0,,,,no,,no,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P5,0,5_2,280,190,No,na,1,1,3,55,2,0,,,,no,,no,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,29,300,420,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,30,70,200,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,104,200,10,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,105,180,350,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,106,440,350,,no,,,,,,,,,,,,,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,107,440,320,Yes,yes,2,1,6,92,6,0,,,,no,,yes,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,107,440,320,Yes,yes,2,2,6,78,8,0,,,,no,,yes,,,2017,Y2
UC,-35.2343028,149.08505,-35.2343028,149.08505,T1,P6,1,6_1,110,400,No,na,1,1,5,70,6,0,,,,yes,ss,yes,,,2017,Y2
