site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,1,25,45,NA,1,2,1,3,176,16,0,NA,NA,NA,no,NA,no,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,1,25,45,NA,1,2,2,4,169,11,0,NA,NA,NA,no,NA,no,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,6,13,20,NA,1,3,1,8,35.6,26,5,595,25,mature,no,NA,no,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,6,13,20,NA,1,3,2,6,320,21,4,643,23,mature,no,NA,yes,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,6,13,20,NA,1,3,3,6,333,22,5,594,19,mature,no,NA,yes,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,107,29,13,NA,1,2,1,4,219,12,0,NA,NA,NA,no,NA,yes,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,107,29,13,NA,1,2,2,3,222,11,0,NA,NA,NA,yes,NA,yes,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,108,14,5,NA,1,1,1,3,121,5,0,NA,NA,NA,no,NA,no,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P1,14,109,4,7,NA,1,1,1,3,229,10,0,NA,NA,NA,no,NA,no,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P2,23,11,1,22,NA,1,1,1,4,311,14,1,285,15,bud,no,NA,no,NA,NA,2018,Y2
ZG,41.68952,-0.932390,NA,NA,T1,P2,23,110,30,50,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Y2
