site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,1,25,45,NA,NA,1,1,5,290,20,1,282,19,mature seeds,NA,NA,1,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,2,18,13,NA,NA,2,1,5,235,17,3,590,37,mature seeds,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,2,18,13,NA,NA,2,2,2,182,12,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,3,1,31,NA,NA,1,1,1,225,12,2,537,21,mature seeds,NA,NA,1,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,4,6,30,NA,NA,1,1,2,201,15,1,25,5,bud,NA,NA,1,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,5,0,15,NA,NA,1,1,3,271,11,2,695,25,mature seeds,NA,NA,1,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,6,13,20,NA,NA,4,1,5,315,23,3,549,25,mature seeds,NA,NA,1,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,6,13,20,NA,NA,4,2,3,265,15,2,331,17,mature seeds,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,6,13,20,NA,NA,4,3,2,253,14,1,NA,NA,eaten,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,6,13,20,NA,NA,4,4,4,261,15,1,231,13,seeds developing,NA,NA,1,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,7,24,18,NA,NA,1,1,1,65,5,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,8,28,17,NA,NA,1,1,2,182,8,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,9,21,11,NA,NA,1,1,2,230,7,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P1,0,10,20,9,NA,NA,1,1,3,289,20,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P2,0,11,1,22,NA,NA,1,1,3,259,12,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P2,0,12,43,23,NA,NA,1,1,2,136,15,2,270,19,mature seeds,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P2,0,13,44,25,NA,NA,1,1,2,110,9,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
ZG,41.68952,-0.932390,NA,NA,T1,P3,0,14,8,36,NA,NA,1,1,2,119,9,0,NA,NA,NA,NA,NA,0,NA,,2016,Y0
